ID,Tên sản phẩm,Giá,Giá gốc,% Giảm giá,Hình ảnh,URL,Sale
73244,JUPE VÂN TRẮNG TÚI CHÉO,838.600 VND,1.198.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/s/fs2505141bkwowh5.jpg,https://elise.vn/jupe-van-trang-tui-cheo-fs2505141bkwowh.html,Có
73239,CHÂN VÁY TUYTSY KEM DẬP LY,1.118.600 VND,1.598.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/w/fw2508062bkwocr1.jpg,https://elise.vn/chan-vay-tuytsy-kem-dap-ly-fw2508062bkwocr.html,Có
73234,CHÂN VÁY TƠ XƯỚC BE XẾP NHÚN EO,908.600 VND,1.298.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/s/fs2504028bkorbe4.jpg,https://elise.vn/chan-vay-to-xuoc-be-xep-nhun-eo-fs2504028bkorbe.html,Có
73229,SM TƠ XƯỚC BE XẾP NHÚN VAI,908.600 VND,1.298.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/s/fs2504027tsorbe.jpg,https://elise.vn/sm-to-xuoc-be-xep-nhun-vai-fs2504027tsorbe.html,Có
73224,SM TƠ NHŨ ÓNG TRẮNG ĐÈ REN,768.600 VND,1.098.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/s/fs2503084tsorwh.jpg,https://elise.vn/sm-to-nhu-ong-trang-de-ren-fs2503084tsorwh.html,Có
73219,SM SẠN TRẮNG SỮA CÀI HOA DÂY,838.600 VND,1.198.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/s/fs2504184tswowh1.jpg,https://elise.vn/sm-san-trang-sua-cai-hoa-day-fs2504184tswowh.html,Có
73214,ÁO TUYTSY TRẮNG CỔ TRÒN ĐAI EO,1.048.600 VND,1.498.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/f/ff2505095tswowh3.jpg,https://elise.vn/ao-tuytsy-trang-co-tron-dai-eo-ff2505095tswowh.html,Có
73209,ÁO TƠ TUA RUA MÀU KEM CỔ LỤA,908.600 VND,1.298.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/s/fs2505270tsorcr4.jpg,https://elise.vn/ao-to-tua-rua-mau-kem-co-lua-fs2505270tsorcr.html,Có
73184,QUẦN DENIM SUÔNG GẤU LƠVÊ THÊU CHỮ ELISE,908.600 VND,1.298.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/s/fs2506175bpdenv.jpg,https://elise.vn/quan-denim-suong-gau-love-theu-chu-elise-fs2506175bpdenv.html,Có
73179,QUẦN DÀI SỢI ĐEN PHA TRẮNG ỐP NẮP TÚI,838.600 VND,1.198.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/s/fs2503107bpwobk.jpg,https://elise.vn/quan-dai-soi-den-pha-trang-op-nap-tui-fs2503107bpwobk.html,Có
73164,CHÂN VÁY JEANS GHI TÚI THÊU LOGO,658.800 VND,1.098.000 VND,40%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/s/fs2501200bkdegr4.jpg,https://elise.vn/chan-vay-jeans-ghi-tui-theu-logo-fs2501200bkdegr.html,Có
73159,ÁO THUN NÂU SÁT NÁCH,488.600 VND,698.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/w/fw2507074tnkcbr1.jpg,https://elise.vn/ao-thun-nau-sat-nach-fw2507074tnkcbr.html,Có
73149,ÁO MONGTOGHI XANH TÍM THAN DÀI TAY,698.600 VND,998.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/s/fs2502025tlkfnv.jpg,https://elise.vn/ao-mongtoghi-xanh-tim-than-dai-tay-fs2502025tlkfnv.html,Có
73144,ÁO MONGTOGHI XÁM GHI ĐÍNH LOGO,698.600 VND,998.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/s/fs2502008tlkfbl5.jpg,https://elise.vn/ao-mongtoghi-xam-ghi-dinh-logo-fs2502008tlkfbl.html,Có
73139,ÁO MONGTOGHI VÀNG DỆT XOẮN THỪNG,768.600 VND,1.098.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/s/fs2502107tlkfyl3.jpg,https://elise.vn/ao-mongtoghi-vang-det-xoan-thung-fs2502107tlkfyl.html,Có
73134,ÁO MONGTOGHI TÍM MỞ KHUY,698.600 VND,998.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/s/fs2502005tlkfrd3.jpg,https://elise.vn/ao-mongtoghi-tim-mo-khuy-fs2502005tlkfrd.html,Có
73129,ÁO MONGTOGHI ĐỎ CỔ TIM MỎ KHUY,628.600 VND,898.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/s/fs2501254tlkfbe4.jpg,https://elise.vn/ao-mongtoghi-do-co-tim-mo-khuy-fs2501254tlkfbe.html,Có
73124,ÁO MONGTOGHI ĐEN TRẮNG TRỄ VAI,698.600 VND,998.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/s/fs2502294tlkfpb2.jpg,https://elise.vn/ao-mongtoghi-den-trang-tre-vai-fs2502294tlkfpb.html,Có
73119,ÁO MONGTOGHI CỔ TRÒN ĐÍNH LOGO,628.600 VND,898.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/s/fs2501252tlkfgr1.jpg,https://elise.vn/ao-mongtoghi-co-tron-dinh-logo-fs2501252tlkfgr.html,Có
73114,ÁO MONGTOGHI CỔ THUYỀN BO GẤU,698.600 VND,998.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/s/fs2501253tlkfgr4.jpg,https://elise.vn/ao-mongtoghi-co-thuyen-bo-gau-fs2501253tlkfgr.html,Có
73109,ÁO LEN ĐỎ TÍA SÁT NÁCH,628.600 VND,898.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/w/fw2507136tnkfrd2.jpg,https://elise.vn/ao-len-do-tia-sat-nach-fw2507136tnkfrd.html,Có
73104,ĐẦM TWEED ĐEN VÂN KT PHỐI CỔ REN HOA,1.748.600 VND,2.498.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/w/fw2508195ditwpb.jpg,https://elise.vn/dam-tweed-den-van-kt-phoi-co-ren-hoa-fw2508195ditwpb.html,Có
73099,ĐẦM TWEED ĐEN SỢI KẺ Ô ĐÍNH PK KIM TUYẾN,1.608.600 VND,2.298.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/w/fw2508091ditwbk2.jpg,https://elise.vn/dam-tweed-den-soi-ke-o-dinh-pk-kim-tuyen-fw2508091ditwbk.html,Có
73094,JUPE DẠ TWEED SỢI KẺ Ô ĐEN XẺ SAU,978.600 VND,1.398.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/w/fw2507309bktwpt1.jpg,https://elise.vn/jupe-da-tweed-soi-ke-o-den-xe-sau-fw2507309bktwpt.html,Có
73089,JUPE DẠ TWEED NÂU SÁNG KẺ Ô,908.600 VND,1.298.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/w/fw2509072bktwbr.jpg,https://elise.vn/jupe-da-tweed-nau-sang-ke-o-fw2509072bktwbr.html,Có
73084,CV TWEED ĐEN VÂN KT GẤU DÂY XÍCH,1.118.600 VND,1.598.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/w/fw2509002bktwpb2.jpg,https://elise.vn/cv-tweed-den-van-kt-gau-day-xich-fw2509002bktwpb.html,Có
